session no.,date,topic,speakers,commnet,phase of trial,,,,,p=prosection
48,23.5.61,PWV52,Perla Mark,,prosecution,,,,,
,,PWV53,Theodor Löwenstein,,prosecution,,,,,
49,23.5.61,PWV54,Ernest Abeles,,prosecution,,,,,
50,24.5.61,procedural,,,prosecution,,,,,
,,PW8,Bedrich Steiner,,prosecution,,,,,
51,24.5.61,PWV55,Adolf Rosenberg,,prosecution,,,,,
,,procedural ,,,prosecution,,,,,
,,PWV56,Pinhas Freudiger,,prosecution,,,,,
52,25.5.61,PWV56,Pinhas Freudiger,,prosecution,,,,,
,,PWV57,Alexander Brody,,prosecution,,,,,
53,25.5.61,PWV57,Alexander Brody,,prosecution,,,,,
,,PWV58,Elisheva Szenes,,prosecution,,,,,
,,PWV59,Margit Reich,,prosecution,,,,,
,,PWV60,Martin Földi,,prosecution,,,,,
,,PWV61,Zeev Sapir,,prosecution,,,,,
54,26.5.61,PWV62,Avraham Gordon,,prosecution,,,,,
,,procedural,,on films to be shown as evidence,prosecution,,,,,
,,PW9,Tibor Ferencz,,prosecution,,,,,
55,29.5.61,PW10,Gustav Gilbert,,prosecution,,,,,
56,29.5.61,PW10,Gustav Gilbert,,prosecution,,,,,
,,PWV63,Joel Brand,,prosecution,,,,,
57,30.5.61,PW10,Gustav Gilbert,,prosecution,,,,,
,,PWV63,Joel Brand,,prosecution,,,,,
58,30.5.61,procedural,,,prosecution,,,,,
,,PWV64,Hansi Brand,,prosecution,,,,,
59,31.5.61,PWV64,Hansi Brand,,prosecution,,,,,
,,PWV63,Joel Brand,,prosecution,,,,,
60,31.5.61,PWV64,Moshe Rosenberg,,prosecution,,,,,
,,procedural,,,prosecution,,,,,
61,1.6.61,procedural,,,prosecution,,,,,
,,PWV65,Arie Breszlauer,,prosecution,,,,,
,,PWV66,Aviva Fleisch-mann,,prosecution,,,,,
61,1.6.61,procedural,,,prosecution,,,,,
,,PWV67,Zvi Henryk Zimmer-mann,,prosecution,,,,,
,,PWV68,Leslie Gordon,,prosecution,,,,,
62,2.6.61,procedural,,mufti diary,prosecution,,,,,
63,,PWV69,Avraham Levinson,,prosecution,,,,,
,,PWV70,Israel Gutman,"""מצהיר״",prosecution,,,,,
$64.00,5.6.61,PWV71,Israel Reznik,,prosecution,,,,,
,,PWV72,Yaacov Friedman,,prosecution,,,,,
,,PWV73,Dov Freiberg,,prosecution,,,,,
65,5.6.61,PWV73,Moshe Bahir,,prosecution,,,,,
,,PWV74,Yaacov Biskowitz,,prosecution,,,,,
,,PWV75,Michael Podchlewnik,,prosecution,,,,,
,,PWV76,Mordechai Z´urawski,,prosecution,,,,,
66,6.6.61,PWV77,Shimon Srebrnik,,prosecution,,,,,
,,PWV78,Yaacov Wiernik,,prosecution,,,,,
,,PWV79,Kalman Tiegman,,prosecution,,,,,
,,PWV80,Elihau Rosenberg,,prosecution,,,,,
,,PWV81,Avraham Lindwasser,,prosecution,,,,,
,,PWV73,Moshe Bahir,,prosecution,,,,,
67,6.6.61,procedural,,,prosecution,,,,,
,,PWV74,David Wdowinski,,prosecution,,,,,
68,7.6.61,PWV75,Yehiel Dinur,kazetnik,prosecution,,,,,
,,PWV76,Yosef Kleinman,,prosecution,,,,,
,,PWV77,Yehuda Bakon,,prosecution,,,,,
,,PWV78,Alfred Oppenheimer,,prosecution,,,,,
69,7.6.61,PWV79,Witness A,closed doors,prosecution,,,,,
,,PWV80,Witness B,closed doors,prosecution,,,,,
,,PWV81,Aharon Beilin,,prosecution,,,,,
